Time,UserId,Type,ItemId,TimeTmp,TimeShift,TimeDiff,SessionIdTmp,SessionId
1433175395,581,view,388097,2015-06-01 16:16:35,,,0,0
1433219869,1756,view,296448,2015-06-02 04:37:49,2015-06-01 16:16:35,44474.0,1,1
1433173807,5129,view,67748,2015-06-01 15:50:07,2015-06-02 04:37:49,46062.0,1,2
1433219641,5925,view,291413,2015-06-02 04:34:01,2015-06-01 15:50:07,45834.0,1,3
1433194280,7684,view,253615,2015-06-01 21:31:20,2015-06-01 21:41:04,584.0,0,4
1433194864,7173,view,14974,2015-06-01 21:41:04,2015-06-02 04:34:01,24777.0,1,4
1433222876,8287,view,459752,2015-06-02 05:27:56,2015-06-01 21:31:20,28596.0,1,5
1433175511,8736,view,24358,2015-06-01 16:18:31,2015-06-02 05:27:56,47365.0,1,6
1433191526,9289,view,315393,2015-06-01 20:45:26,2015-06-01 16:18:31,16015.000000000002,1,7
1433193196,11598,view,62549,2015-06-01 21:13:16,2015-06-01 20:45:26,1670.0,0,7
1433175269,12635,view,275269,2015-06-01 16:14:29,2015-06-01 21:13:16,17927.0,1,8
1433172636,12773,view,78849,2015-06-01 15:30:36,2015-06-01 16:14:29,2633.0,1,9
1433174850,14699,view,265166,2015-06-01 16:07:30,2015-06-01 15:30:36,2214.0,1,10
1433191765,15613,view,89737,2015-06-01 20:49:25,2015-06-01 16:07:30,16915.0,1,11
1433191793,15613,view,237422,2015-06-01 20:49:53,2015-06-01 20:49:25,28.0,0,11
1433223879,15795,view,81075,2015-06-02 05:44:39,2015-06-01 20:49:53,32086.000000000004,1,12
1433224229,15795,view,44872,2015-06-02 05:50:29,2015-06-02 05:44:39,350.0,0,12
1433176125,20903,view,101094,2015-06-01 16:28:45,2015-06-01 16:36:58,493.00000000000006,0,13
1433176618,18581,view,187530,2015-06-01 16:36:58,2015-06-02 05:50:29,47611.0,1,13
1433223854,21004,view,181142,2015-06-02 05:44:14,2015-06-01 16:28:45,47729.0,1,14
1433194792,24769,view,55364,2015-06-01 21:39:52,2015-06-02 05:44:14,29062.0,1,15
1433192892,32389,view,98728,2015-06-01 21:08:12,2015-06-01 21:39:52,1900.0000000000002,1,16
1433176473,35692,view,172063,2015-06-01 16:34:33,2015-06-01 16:39:23,290.0,0,17
1433176763,34648,view,281211,2015-06-01 16:39:23,2015-06-01 21:08:12,16129.000000000002,1,17
1433217383,37840,view,297513,2015-06-02 03:56:23,2015-06-01 16:34:33,40910.0,1,18
